Gene.symbol
CELA2B
NEUROD1
FAM3D
LINC01207
GC
FXYD6-FXYD2///FXYD2
VNN1
BPIFB1
TMEM97
FXYD2
REG1B
SLC3A1
SYCN
GP2
TMEM97
CEACAM7
CXCL14
GP2
CFTR
CEL
PRSS3
PRSS3P2
GP2
PLA2G1B
CTRC
PRSS3
SST
CEL
TFPI2
REG1A
SLC30A8
CTRB2
CELA3B
USP9Y
CELA3A
CELA2A///CELA2B
REG3G
CLPS
CPA1
PRSS2
CELA3A
ACTG1P4///AMY2B///AMY2A///AMY1C///AMY1B///AMY1A
CTRB2///CTRB1
CELA2A///CELA2B
CHGB
CFC1B///CFC1
REG3A
CPB1
TTR
PRSS2
PRSS2///PRSS1
INS
PNLIP
RPS4Y1
GCG
